THE,26548583149
AND,11315969857
FOR,3272628244
WAS,2751347404
NOT,2261359962
ARE,1850210733
HIS,1805683788
BUT,1396171439
HAD,1308007510
YOU,1168867586
ONE,1074487479
ALL,1031379950
CAN,832705210
HER,816638617
HAS,816070042
WHO,732299236
SHE,696346928
ITS,684717118
MAY,659022046
HIM,590383891
NEW,536629127
OUT,524101460
TWO,517040036
ANY,491821918
OUR,437481406
SEE,423246243
DID,344906403
NOW,339668198
HOW,315034600
MAN,304508612
WAY,279891710
USE,267896038
OWN,262133879
DAY,235502808
MEN,227046739
TOO,193899359
OLD,191925436
GOD,184338584
LAW,169132090
WAR,167747032
FEW,160768276
END,159203698
GET,159145521
SAY,155031088
OFF,151267266
SET,151169477
PER,150200258
YET,149053429
FAR,144380210
ACT,126418288
PUT,117340171
LET,115764544
WHY,115402949
AGE,104023042
AIR,93503520
LOW,89462256
NOR,86714592
ART,82862493
DUE,82117868
GOT,81492652
SAW,80675505
FIG,75188584
NON,73227743
SIX,72230064
SON,70132410
'LL,65790142
SEA,62551691
SIR,62076378
RED,61499427
'RE,61018780
TEN,57854235
VOL,55049520
RUN,54936372
PAY,54643348
TOP,53843018
TAX,53210644
DIE,52073688
LED,51836508
CUT,51518875
JOB,50086343
BIG,49743891
'VE,49393647
III,49103792
YES,48447081
OIL,47039115
ASK,46163611
MET,45332168
TRY,43011987
SUN,42767786
BAD,42658131
KEY,41769602
EYE,41154377
BOY,38610205
LAY,38207202
DER,38103605
BED,37543764
DES,37522312
BOX,36987674
AGO,36679528
LOT,36447424
ADD,35920439
GAS,35815567
CAR,35783521
AID,33985476
SEX,31155921
SAT,30818041
SAN,29787418
HOT,29234931
DRY,28286790
ILL,27863718
VAN,27107342
BIT,26875686
NET,26847979
ARM,25478297
UND,25384783
FIT,25360136
SUM,25320775
LES,24558965
BAR,23881626
RAN,23093489
PRE,22363190
LIE,22336271
VON,21849152
BUY,21501486
THY,21205961
ICE,20498604
EAT,20465924
SIT,20123027
DOG,19917535
SIN,19817563
MAP,19710457
WEB,19389664
BAY,19160755
QUE,18955750
WON,18340076
MID,18149927
LOS,17955639
FAT,17284570
SKY,17248614
SEC,17026914
JOY,16907336
SUB,16494695
VIA,16020209
ERA,15940610
HIT,15892357
AIM,15512380
LEE,15480239
VII,15227617
RAY,15198364
ROW,14989955
DEL,14848330
EAR,14653974
TOM,14418563
CUP,14341236
EDS,14120377
TEA,13984878
GUN,13913243
WIN,13722007
RAW,13460956
ANN,13320545
DNA,12925375
PRO,12910913
FED,12538172
PAR,12467986
DON,12435428
FLY,12413446
CRY,12354463
WET,12006650
LEG,11667620
MED,11564500
EST,11558069
CIT,11541127
CAT,11391454
HAT,11347694
GAP,11335181
USA,11211750
DEN,10818339
CON,10719518
MIN,10453440
ARC,10255891
ION,10125145
SAD,10116895
FUN,10027207
FEE,9978871
GAY,9874272
CAP,9861015
GUY,9786146
BAG,9763750
SAM,9728418
BUS,9685520
LOG,9682920
TIP,9619842
